pedido_id,cliente_id,data_pedido,status,valor_pedido,atualizado_em
P001,C001,2026-11-03,aprovado,249.90,2026-11-03 10:00:00
P002,C002,2026-11-05,ENTREGUE,990.00,2026-11-09 17:00:00
P003,C003,2026-11-11,Cancelado,120.50,2026-11-11 15:00:00
P004,C004,2026-11-20,entregue,430.00,2026-11-24 11:00:00
P005,C001,2026-12-01,aprovado,89.90,2026-12-01 09:20:00
P006,C005,2026-12-02, entregue ,1500.00,2026-12-06 18:00:00
P006,C005,2026-12-02, entregue ,1500.00,2026-12-06 18:00:00
P007,C006,2026-12-04,pendente,315.75,2026-12-04 12:10:00
P008,C007,2026-12-08,ENTREGUE,640.20,2026-12-12 14:00:00
P009,C999,2026-12-09,aprovado,75.00,2026-12-09 16:30:00
P010,C008,2026-12-12,aprovado,210.00,2026-12-12 19:00:00
